"filename", "language", "C++", "Markdown", "JSON", "Docker", "Go", "Doxyfile", "Makefile", "comment", "blank", "total"
"d:\BaiduSyncdisk\OCI\execute\multierror\group.cpp", "C++", -18, 0, 0, 0, 0, 0, 0, -32, -3, -53
"d:\BaiduSyncdisk\OCI\execute\parse\buildkitparser.cpp", "C++", -57, 0, 0, 0, 0, 0, 0, -3, -10, -70
"d:\BaiduSyncdisk\OCI\execute\parse\dockerfileparse.cpp", "C++", -333, 0, 0, 0, 0, 0, 0, -45, -49, -427
"d:\BaiduSyncdisk\OCI\execute\parse\line_parsers.cpp", "C++", -385, 0, 0, 0, 0, 0, 0, -33, -51, -469
"d:\BaiduSyncdisk\OCI\execute\parse\parse.cpp", "C++", -376, 0, 0, 0, 0, 0, 0, -130, -67, -573
"d:\BaiduSyncdisk\OCI\execute\parse\split_command.cpp", "C++", -104, 0, 0, 0, 0, 0, 0, -5, -10, -119
"d:\BaiduSyncdisk\OCI\execute\pflag\value.cpp", "C++", -165, 0, 0, 0, 0, 0, 0, -202, -4, -371
"d:\BaiduSyncdisk\OCI\execute\reference\reference.cpp", "C++", -35, 0, 0, 0, 0, 0, 0, 0, -3, -38
"d:\BaiduSyncdisk\OCI\execute\regexp\regexp.cpp", "C++", -243, 0, 0, 0, 0, 0, 0, -26, -52, -321
"d:\BaiduSyncdisk\OCI\execute\selinux\selinux.cpp", "C++", -8, 0, 0, 0, 0, 0, 0, 0, 0, -8
"d:\BaiduSyncdisk\OCI\execute\selinux\selinux_linux.cpp", "C++", -43, 0, 0, 0, 0, 0, 0, -23, -12, -78
"d:\BaiduSyncdisk\OCI\execute\semaphore\semaphore.cpp", "C++", -69, 0, 0, 0, 0, 0, 0, -30, -18, -117
"d:\BaiduSyncdisk\OCI\execute\shell\lex.cpp", "C++", -312, 0, 0, 0, 0, 0, 0, -14, -32, -358
"d:\BaiduSyncdisk\OCI\execute\signature\policy_config.cpp", "C++", -29, 0, 0, 0, 0, 0, 0, -1, -7, -37
"d:\BaiduSyncdisk\OCI\execute\signature\policy_eval.cpp", "C++", -6, 0, 0, 0, 0, 0, 0, 0, -4, -10
"d:\BaiduSyncdisk\OCI\execute\signature\policy_types.cpp", "C++", -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\BaiduSyncdisk\OCI\execute\storage\storage.cpp", "C++", -7, 0, 0, 0, 0, 0, 0, 0, -2, -9
"d:\BaiduSyncdisk\OCI\execute\storage\storage_reference.cpp", "C++", -11, 0, 0, 0, 0, 0, 0, 0, -2, -13
"d:\BaiduSyncdisk\OCI\execute\storage\storage_transport.cpp", "C++", -5, 0, 0, 0, 0, 0, 0, 0, -2, -7
"d:\BaiduSyncdisk\OCI\execute\storage\store.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, -3, -3
"d:\BaiduSyncdisk\OCI\execute\transports\transports.cpp", "C++", -33, 0, 0, 0, 0, 0, 0, 0, -1, -34
"d:\BaiduSyncdisk\OCI\execute\types\options.cpp", "C++", -142, 0, 0, 0, 0, 0, 0, -117, -17, -276
"d:\BaiduSyncdisk\OCI\execute\unshare\unshare_linux.cpp", "C++", -9, 0, 0, 0, 0, 0, 0, -2, -1, -12
"d:\BaiduSyncdisk\OCI\execute\util\util.cpp", "C++", -83, 0, 0, 0, 0, 0, 0, -24, -11, -118
"d:\BaiduSyncdisk\OCI\execute\v1\descriptor.cpp", "C++", -7, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\BaiduSyncdisk\OCI\include\alltransports\alltransports.h", "C++", -10, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\BaiduSyncdisk\OCI\include\attributedstring\slice.h", "C++", -15, 0, 0, 0, 0, 0, 0, 0, -3, -18
"d:\BaiduSyncdisk\OCI\include\auth\auth.h", "C++", -7, 0, 0, 0, 0, 0, 0, 0, -2, -9
"d:\BaiduSyncdisk\OCI\include\buildah\buildah.h", "C++", -87, 0, 0, 0, 0, 0, 0, -38, -42, -167
"d:\BaiduSyncdisk\OCI\include\buildah\commit.h", "C++", -41, 0, 0, 0, 0, 0, 0, -25, -26, -92
"d:\BaiduSyncdisk\OCI\include\buildah\common.h", "C++", -41, 0, 0, 0, 0, 0, 0, 0, -5, -46
"d:\BaiduSyncdisk\OCI\include\buildah\digester.h", "C++", -30, 0, 0, 0, 0, 0, 0, -10, -8, -48
"d:\BaiduSyncdisk\OCI\include\buildah\image.h", "C++", -50, 0, 0, 0, 0, 0, 0, -1, -3, -54
"d:\BaiduSyncdisk\OCI\include\buildah\util.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, -3, -23
"d:\BaiduSyncdisk\OCI\include\bytes\buffer.h", "C++", -20, 0, 0, 0, 0, 0, 0, -3, -4, -27
"d:\BaiduSyncdisk\OCI\include\capabilities\capabilities.h", "C++", -3, 0, 0, 0, 0, 0, 0, 0, -4, -7
"d:\BaiduSyncdisk\OCI\include\cgroupv2\cgroups_linux.h", "C++", -39, 0, 0, 0, 0, 0, 0, -3, -5, -47
"d:\BaiduSyncdisk\OCI\include\cli\build.h", "C++", -124, 0, 0, 0, 0, 0, 0, -141, -9, -274
"d:\BaiduSyncdisk\OCI\include\cli\common.h", "C++", -26, 0, 0, 0, 0, 0, 0, -20, -2, -48
"d:\BaiduSyncdisk\OCI\include\cobra\args.h", "C++", -13, 0, 0, 0, 0, 0, 0, -11, -2, -26
"d:\BaiduSyncdisk\OCI\include\cobra\command.h", "C++", -92, 0, 0, 0, 0, 0, 0, -50, -8, -150
"d:\BaiduSyncdisk\OCI\include\cobra\error.h", "C++", -24, 0, 0, 0, 0, 0, 0, -19, -5, -48
"d:\BaiduSyncdisk\OCI\include\cobra\flag.h", "C++", -81, 0, 0, 0, 0, 0, 0, -27, -5, -113
"d:\BaiduSyncdisk\OCI\include\config\config.h", "C++", -226, 0, 0, 0, 0, 0, 0, -184, -142, -552
"d:\BaiduSyncdisk\OCI\include\config\config_local.h", "C++", -4, 0, 0, 0, 0, 0, 0, 0, -4, -8
"d:\BaiduSyncdisk\OCI\include\config\default_linux.h", "C++", -18, 0, 0, 0, 0, 0, 0, 0, -3, -21
"d:\BaiduSyncdisk\OCI\include\config\defaut.h", "C++", -25, 0, 0, 0, 0, 0, 0, -1, -10, -36
"d:\BaiduSyncdisk\OCI\include\config\new.h", "C++", -31, 0, 0, 0, 0, 0, 0, -7, -6, -44
"d:\BaiduSyncdisk\OCI\include\config\pod_exit_policy.h", "C++", -11, 0, 0, 0, 0, 0, 0, 0, -5, -16
"d:\BaiduSyncdisk\OCI\include\copy\copy.h", "C++", -53, 0, 0, 0, 0, 0, 0, -2, -12, -67
"d:\BaiduSyncdisk\OCI\include\define\build.h", "C++", -184, 0, 0, 0, 0, 0, 0, -255, -13, -452
"d:\BaiduSyncdisk\OCI\include\define\namespace.h", "C++", -18, 0, 0, 0, 0, 0, 0, 0, -2, -20
"d:\BaiduSyncdisk\OCI\include\define\pull.h", "C++", -22, 0, 0, 0, 0, 0, 0, 0, -4, -26
"d:\BaiduSyncdisk\OCI\include\define\types.h", "C++", -159, 0, 0, 0, 0, 0, 0, -69, -14, -242
"d:\BaiduSyncdisk\OCI\include\define\types_unix.h", "C++", -15, 0, 0, 0, 0, 0, 0, 0, -1, -16
"d:\BaiduSyncdisk\OCI\include\devices\devices.h", "C++", -30, 0, 0, 0, 0, 0, 0, -11, -10, -51
"d:\BaiduSyncdisk\OCI\include\digest\algorithm.h", "C++", -23, 0, 0, 0, 0, 0, 0, 0, -3, -26
"d:\BaiduSyncdisk\OCI\include\digest\digest.h", "C++", -19, 0, 0, 0, 0, 0, 0, 0, -4, -23
"d:\BaiduSyncdisk\OCI\include\digest\digester.h", "C++", -13, 0, 0, 0, 0, 0, 0, -2, -4, -19
"d:\BaiduSyncdisk\OCI\include\docker\container.h", "C++", -10, 0, 0, 0, 0, 0, 0, -75, -6, -91
"d:\BaiduSyncdisk\OCI\include\docker\types.h", "C++", -96, 0, 0, 0, 0, 0, 0, -23, -21, -140
"d:\BaiduSyncdisk\OCI\include\go\context.h", "C++", -48, 0, 0, 0, 0, 0, 0, -8, -11, -67
"d:\BaiduSyncdisk\OCI\include\go\file.h", "C++", -16, 0, 0, 0, 0, 0, 0, 0, -7, -23
"d:\BaiduSyncdisk\OCI\include\go\hash.h", "C++", -12, 0, 0, 0, 0, 0, 0, -4, -6, -22
"d:\BaiduSyncdisk\OCI\include\go\sha256.h", "C++", -16, 0, 0, 0, 0, 0, 0, -11, -8, -35
"d:\BaiduSyncdisk\OCI\include\go\string.h", "C++", -20, 0, 0, 0, 0, 0, 0, -10, -1, -31
"d:\BaiduSyncdisk\OCI\include\graphdriver\driver.h", "C++", -22, 0, 0, 0, 0, 0, 0, -3, -4, -29
"d:\BaiduSyncdisk\OCI\include\homedir\homedir_unix.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, -6, -26
"d:\BaiduSyncdisk\OCI\include\idtools\idtools.h", "C++", -28, 0, 0, 0, 0, 0, 0, 0, -5, -33
"d:\BaiduSyncdisk\OCI\include\imagebuildah\build.h", "C++", -14, 0, 0, 0, 0, 0, 0, 0, -3, -17
"d:\BaiduSyncdisk\OCI\include\imagebuildah\executor.h", "C++", -180, 0, 0, 0, 0, 0, 0, -3, -8, -191
"d:\BaiduSyncdisk\OCI\include\imagebuildah\stage_executor.h", "C++", -58, 0, 0, 0, 0, 0, 0, -10, -4, -72
"d:\BaiduSyncdisk\OCI\include\imagebuildah\util.h", "C++", -16, 0, 0, 0, 0, 0, 0, -2, -3, -21
"d:\BaiduSyncdisk\OCI\include\imagebuilder\builder.h", "C++", -133, 0, 0, 0, 0, 0, 0, -5, -13, -151
"d:\BaiduSyncdisk\OCI\include\imagebuilder\dispatchers.h", "C++", -69, 0, 0, 0, 0, 0, 0, 0, -11, -80
"d:\BaiduSyncdisk\OCI\include\imagebuilder\evaluator.h", "C++", -96, 0, 0, 0, 0, 0, 0, -5, -14, -115
"d:\BaiduSyncdisk\OCI\include\imagebuilder\internals.h", "C++", -151, 0, 0, 0, 0, 0, 0, -15, -25, -191
"d:\BaiduSyncdisk\OCI\include\imagebuilder\shell_parser.h", "C++", -38, 0, 0, 0, 0, 0, 0, -1, -5, -44
"d:\BaiduSyncdisk\OCI\include\internal\types.h", "C++", -21, 0, 0, 0, 0, 0, 0, -2, -3, -26
"d:\BaiduSyncdisk\OCI\include\libimage\normalize.h", "C++", -10, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\BaiduSyncdisk\OCI\include\logrus\bufferpool.h", "C++", -14, 0, 0, 0, 0, 0, 0, -1, -3, -18
"d:\BaiduSyncdisk\OCI\include\logrus\formatter.h", "C++", -13, 0, 0, 0, 0, 0, 0, -1, -2, -16
"d:\BaiduSyncdisk\OCI\include\logrus\hooks.h", "C++", -15, 0, 0, 0, 0, 0, 0, -16, -4, -35
"d:\BaiduSyncdisk\OCI\include\logrus\logger.h", "C++", -32, 0, 0, 0, 0, 0, 0, -61, -16, -109
"d:\BaiduSyncdisk\OCI\include\logrus\logrus.h", "C++", -26, 0, 0, 0, 0, 0, 0, -9, -2, -37
"d:\BaiduSyncdisk\OCI\include\main\build.h", "C++", -27, 0, 0, 0, 0, 0, 0, -15, -2, -44
"d:\BaiduSyncdisk\OCI\include\main\config.h", "C++", -23, 0, 0, 0, 0, 0, 0, -15, -1, -39
"d:\BaiduSyncdisk\OCI\include\main\images.h", "C++", -15, 0, 0, 0, 0, 0, 0, -16, -1, -32
"d:\BaiduSyncdisk\OCI\include\main\info.h", "C++", -11, 0, 0, 0, 0, 0, 0, -10, -1, -22
"d:\BaiduSyncdisk\OCI\include\main\inspect.h", "C++", -11, 0, 0, 0, 0, 0, 0, -10, -1, -22
"d:\BaiduSyncdisk\OCI\include\main\login.h", "C++", -17, 0, 0, 0, 0, 0, 0, -15, -1, -33
"d:\BaiduSyncdisk\OCI\include\main\logout.h", "C++", -15, 0, 0, 0, 0, 0, 0, -16, -3, -34
"d:\BaiduSyncdisk\OCI\include\main\pull.h", "C++", -15, 0, 0, 0, 0, 0, 0, -15, -1, -31
"d:\BaiduSyncdisk\OCI\include\main\push.h", "C++", -15, 0, 0, 0, 0, 0, 0, -15, -1, -31
"d:\BaiduSyncdisk\OCI\include\main\rmi.h", "C++", -11, 0, 0, 0, 0, 0, 0, -10, -1, -22
"d:\BaiduSyncdisk\OCI\include\main\root.h", "C++", -23, 0, 0, 0, 0, 0, 0, -22, -4, -49
"d:\BaiduSyncdisk\OCI\include\main\tag.h", "C++", -11, 0, 0, 0, 0, 0, 0, -10, -1, -22
"d:\BaiduSyncdisk\OCI\include\main\version.h", "C++", -15, 0, 0, 0, 0, 0, 0, -15, -1, -31
"d:\BaiduSyncdisk\OCI\include\manifest\docker_schema2.h", "C++", -52, 0, 0, 0, 0, 0, 0, -10, -6, -68
"d:\BaiduSyncdisk\OCI\include\manifest\manifest.h", "C++", -15, 0, 0, 0, 0, 0, 0, 0, -4, -19
"d:\BaiduSyncdisk\OCI\include\multierror\group.h", "C++", -44, 0, 0, 0, 0, 0, 0, -1, -7, -52
"d:\BaiduSyncdisk\OCI\include\parse\buildkitparser.h", "C++", -16, 0, 0, 0, 0, 0, 0, 0, -1, -17
"d:\BaiduSyncdisk\OCI\include\parse\dockerfileparse.h", "C++", -86, 0, 0, 0, 0, 0, 0, -1, -13, -100
"d:\BaiduSyncdisk\OCI\include\parse\line_parsers.h", "C++", -23, 0, 0, 0, 0, 0, 0, 0, -1, -24
"d:\BaiduSyncdisk\OCI\include\parse\parse.h", "C++", -25, 0, 0, 0, 0, 0, 0, -1, -2, -28
"d:\BaiduSyncdisk\OCI\include\parse\split_command.h", "C++", -11, 0, 0, 0, 0, 0, 0, 0, -2, -13
"d:\BaiduSyncdisk\OCI\include\pflag\value.h", "C++", -88, 0, 0, 0, 0, 0, 0, -42, -2, -132
"d:\BaiduSyncdisk\OCI\include\platforms\default_unix.h", "C++", -39, 0, 0, 0, 0, 0, 0, -2, -6, -47
"d:\BaiduSyncdisk\OCI\include\reference\reference.h", "C++", -48, 0, 0, 0, 0, 0, 0, 0, -4, -52
"d:\BaiduSyncdisk\OCI\include\regexp\regexp.h", "C++", -45, 0, 0, 0, 0, 0, 0, 0, -1, -46
"d:\BaiduSyncdisk\OCI\include\runtime_spec\config.h", "C++", -7, 0, 0, 0, 0, 0, 0, 0, -4, -11
"d:\BaiduSyncdisk\OCI\include\rusage\rusage.h", "C++", -56, 0, 0, 0, 0, 0, 0, -10, -3, -69
"d:\BaiduSyncdisk\OCI\include\rusage\rusage_unix.h", "C++", -58, 0, 0, 0, 0, 0, 0, -12, -9, -79
"d:\BaiduSyncdisk\OCI\include\selinux\selinux.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, -2, -7
"d:\BaiduSyncdisk\OCI\include\selinux\selinux_linux.h", "C++", -23, 0, 0, 0, 0, 0, 0, -7, -9, -39
"d:\BaiduSyncdisk\OCI\include\semaphore\semaphore.h", "C++", -34, 0, 0, 0, 0, 0, 0, -2, -4, -40
"d:\BaiduSyncdisk\OCI\include\shell\lex.h", "C++", -58, 0, 0, 0, 0, 0, 0, -2, -10, -70
"d:\BaiduSyncdisk\OCI\include\signature\policy_config.h", "C++", -18, 0, 0, 0, 0, 0, 0, 0, -5, -23
"d:\BaiduSyncdisk\OCI\include\signature\policy_eval.h", "C++", -24, 0, 0, 0, 0, 0, 0, 0, -5, -29
"d:\BaiduSyncdisk\OCI\include\signature\policy_types.h", "C++", -21, 0, 0, 0, 0, 0, 0, 0, -4, -25
"d:\BaiduSyncdisk\OCI\include\signer\signer.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, -4, -9
"d:\BaiduSyncdisk\OCI\include\specs\specs.h", "C++", -34, 0, 0, 0, 0, 0, 0, -25, -4, -63
"d:\BaiduSyncdisk\OCI\include\sshagent\sshagent.h", "C++", -14, 0, 0, 0, 0, 0, 0, -1, -3, -18
"d:\BaiduSyncdisk\OCI\include\storage\images.h", "C++", -27, 0, 0, 0, 0, 0, 0, -16, -16, -59
"d:\BaiduSyncdisk\OCI\include\storage\layers.h", "C++", -16, 0, 0, 0, 0, 0, 0, 0, -3, -19
"d:\BaiduSyncdisk\OCI\include\storage\storage.h", "C++", -31, 0, 0, 0, 0, 0, 0, -17, -8, -56
"d:\BaiduSyncdisk\OCI\include\storage\storage_reference.h", "C++", -18, 0, 0, 0, 0, 0, 0, 0, -2, -20
"d:\BaiduSyncdisk\OCI\include\storage\storage_transport.h", "C++", -25, 0, 0, 0, 0, 0, 0, -3, -5, -33
"d:\BaiduSyncdisk\OCI\include\strslice\strslice.h", "C++", -10, 0, 0, 0, 0, 0, 0, 0, -3, -13
"d:\BaiduSyncdisk\OCI\include\sync\cond.h", "C++", -13, 0, 0, 0, 0, 0, 0, -4, -3, -20
"d:\BaiduSyncdisk\OCI\include\sync\mutex.h", "C++", -14, 0, 0, 0, 0, 0, 0, -16, -5, -35
"d:\BaiduSyncdisk\OCI\include\sync\pool.h", "C++", -21, 0, 0, 0, 0, 0, 0, -4, -8, -33
"d:\BaiduSyncdisk\OCI\include\system\lcow_unix.h", "C++", -16, 0, 0, 0, 0, 0, 0, -4, -1, -21
"d:\BaiduSyncdisk\OCI\include\transports\transports.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, -3, -23
"d:\BaiduSyncdisk\OCI\include\types\network.h", "C++", -31, 0, 0, 0, 0, 0, 0, -18, -16, -65
"d:\BaiduSyncdisk\OCI\include\types\options.h", "C++", -44, 0, 0, 0, 0, 0, 0, -35, -2, -81
"d:\BaiduSyncdisk\OCI\include\types\types.h", "C++", -25, 0, 0, 0, 0, 0, 0, -4, -6, -35
"d:\BaiduSyncdisk\OCI\include\unshare\unshare.h", "C++", -13, 0, 0, 0, 0, 0, 0, 0, -3, -16
"d:\BaiduSyncdisk\OCI\include\unshare\unshare_linux.h", "C++", -8, 0, 0, 0, 0, 0, 0, 0, -2, -10
"d:\BaiduSyncdisk\OCI\include\util\util.h", "C++", -18, 0, 0, 0, 0, 0, 0, 0, -8, -26
"d:\BaiduSyncdisk\OCI\include\v1\config.h", "C++", -47, 0, 0, 0, 0, 0, 0, -24, -15, -86
"d:\BaiduSyncdisk\OCI\include\v1\descriptor.h", "C++", -36, 0, 0, 0, 0, 0, 0, 0, -3, -39
"d:\BaiduSyncdisk\OCI\include\v1\mediatype.h", "C++", -15, 0, 0, 0, 0, 0, 0, -11, -11, -37
"d:\BaiduSyncdisk\OCI\test.cpp", "C++", -26, 0, 0, 0, 0, 0, 0, 0, -6, -32
"e:\BaiduSyncdisk\OCI\Code.go", "Go", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\BaiduSyncdisk\OCI\Dockerfile", "Docker", 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"e:\BaiduSyncdisk\OCI\Doxyfile", "Doxyfile", 0, 0, 0, 0, 0, 358, 0, 1929, 616, 2903
"e:\BaiduSyncdisk\OCI\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 50, 33, 20, 103
