"filename", "language", "C++", "Markdown", "Makefile", "Doxyfile", "comment", "blank", "total"
"d:\BaiduSyncdisk\OCI\execute\define\pull.cpp", "C++", 22, 0, 0, 0, 12, 3, 37
"d:\BaiduSyncdisk\OCI\execute\define\types.cpp", "C++", 15, 0, 0, 0, 0, 1, 16
"d:\BaiduSyncdisk\OCI\execute\docker\reference.cpp", "C++", 23, 0, 0, 0, 0, 0, 23
"d:\BaiduSyncdisk\OCI\execute\imagebuildah\build.cpp", "C++", 4, 0, 0, 0, 0, 3, 7
"d:\BaiduSyncdisk\OCI\execute\internal\types.cpp", "C++", 22, 0, 0, 0, 0, 4, 26
"d:\BaiduSyncdisk\OCI\execute\main.cpp", "C++", 26, 0, 0, 0, 26, 6, 58
"d:\BaiduSyncdisk\OCI\execute\pflag\value.cpp", "C++", 165, 0, 0, 0, 202, 3, 370
"d:\BaiduSyncdisk\OCI\execute\pkg\auth\auth.cpp", "C++", 10, 0, 0, 0, 0, 3, 13
"d:\BaiduSyncdisk\OCI\execute\pkg\idtools\idtools.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"d:\BaiduSyncdisk\OCI\execute\pkg\parse\parse.cpp", "C++", 95, 0, 0, 0, 1, 17, 113
"d:\BaiduSyncdisk\OCI\execute\pkg\util\util.cpp", "C++", 86, 0, 0, 0, 0, 7, 93
"d:\BaiduSyncdisk\OCI\execute\storage\storage.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"d:\BaiduSyncdisk\OCI\execute\storage\store.cpp", "C++", 0, 0, 0, 0, 0, 3, 3
"d:\BaiduSyncdisk\OCI\execute\storage\utils.cpp", "C++", 67, 0, 0, 0, 74, 4, 145
"d:\BaiduSyncdisk\OCI\include\cli\build.h", "C++", 106, 0, 0, 0, 33, 7, 146
"d:\BaiduSyncdisk\OCI\include\cli\common.h", "C++", 17, 0, 0, 0, 10, 0, 27
"d:\BaiduSyncdisk\OCI\include\cmd\build.h", "C++", 27, 0, 0, 0, 15, 2, 44
"d:\BaiduSyncdisk\OCI\include\cmd\config.h", "C++", 23, 0, 0, 0, 15, 1, 39
"d:\BaiduSyncdisk\OCI\include\cmd\images.h", "C++", 15, 0, 0, 0, 16, 1, 32
"d:\BaiduSyncdisk\OCI\include\cmd\info.h", "C++", 11, 0, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\cmd\inspect.h", "C++", 11, 0, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\cmd\login.h", "C++", 17, 0, 0, 0, 15, 1, 33
"d:\BaiduSyncdisk\OCI\include\cmd\logout.h", "C++", 15, 0, 0, 0, 16, 3, 34
"d:\BaiduSyncdisk\OCI\include\cmd\pull.h", "C++", 15, 0, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\cmd\push.h", "C++", 15, 0, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\cmd\rmi.h", "C++", 11, 0, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\cmd\root.h", "C++", 21, 0, 0, 0, 22, 4, 47
"d:\BaiduSyncdisk\OCI\include\cmd\tag.h", "C++", 11, 0, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\cmd\version.h", "C++", 15, 0, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\cobra\args.h", "C++", 13, 0, 0, 0, 11, 2, 26
"d:\BaiduSyncdisk\OCI\include\cobra\command.h", "C++", 92, 0, 0, 0, 50, 7, 149
"d:\BaiduSyncdisk\OCI\include\cobra\error.h", "C++", 20, 0, 0, 0, 19, 5, 44
"d:\BaiduSyncdisk\OCI\include\cobra\flag.h", "C++", 76, 0, 0, 0, 27, 6, 109
"d:\BaiduSyncdisk\OCI\include\config\config.h", "C++", 29, 0, 0, 0, 14, 18, 61
"d:\BaiduSyncdisk\OCI\include\define\build.h", "C++", 192, 0, 0, 0, 236, 15, 443
"d:\BaiduSyncdisk\OCI\include\define\pull.h", "C++", 22, 0, 0, 0, 0, 4, 26
"d:\BaiduSyncdisk\OCI\include\define\types.h", "C++", 73, 0, 0, 0, 69, 9, 151
"d:\BaiduSyncdisk\OCI\include\docker\reference.h", "C++", 40, 0, 0, 0, 1, 3, 44
"d:\BaiduSyncdisk\OCI\include\github\digest.h", "C++", 11, 0, 0, 0, 0, 4, 15
"d:\BaiduSyncdisk\OCI\include\imagebuildah\build.h", "C++", 12, 0, 0, 0, 0, 3, 15
"d:\BaiduSyncdisk\OCI\include\pflag\value.h", "C++", 88, 0, 0, 0, 42, 2, 132
"d:\BaiduSyncdisk\OCI\include\pkg\auth\auth.h", "C++", 7, 0, 0, 0, 0, 2, 9
"d:\BaiduSyncdisk\OCI\include\pkg\idtools\idtools.h", "C++", 10, 0, 0, 0, 0, 4, 14
"d:\BaiduSyncdisk\OCI\include\pkg\internal\types.h", "C++", 21, 0, 0, 0, 2, 3, 26
"d:\BaiduSyncdisk\OCI\include\pkg\parse\parse.h", "C++", 9, 0, 0, 0, 0, 1, 10
"d:\BaiduSyncdisk\OCI\include\pkg\util\util.h", "C++", 14, 0, 0, 0, 0, 1, 15
"d:\BaiduSyncdisk\OCI\include\storage\driver\driver.h", "C++", 22, 0, 0, 0, 3, 4, 29
"d:\BaiduSyncdisk\OCI\include\storage\layers.h", "C++", 16, 0, 0, 0, 0, 3, 19
"d:\BaiduSyncdisk\OCI\include\storage\storage.h", "C++", 29, 0, 0, 0, 17, 8, 54
"d:\BaiduSyncdisk\OCI\include\storage\utils.h", "C++", 34, 0, 0, 0, 16, 4, 54
"d:\BaiduSyncdisk\OCI\test.cpp", "C++", 30, 0, 0, 0, 2, 4, 36
"Total", "-", 3200, 2, 50, 358, 3951, 951, 8512
