"filename", "language", "Docker", "Markdown", "C++", "Shell Script", "comment", "blank", "total"
"e:\BaiduSyncdisk\OCI\execute\regexp\regexp.cpp", "C++", 0, 0, 5, 0, 10, 2, 17
"e:\BaiduSyncdisk\OCI\execute\storage\storage.cpp", "C++", 0, 0, 0, 0, 8, -1, 7
"e:\BaiduSyncdisk\OCI\execute\toml\decode.cpp", "C++", 0, 0, 1, 0, 0, 1, 2
"e:\BaiduSyncdisk\OCI\execute\transports\transports.cpp", "C++", 0, 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\execute\types\options.cpp", "C++", 0, 0, -3, 0, 33, 2, 32
"e:\BaiduSyncdisk\OCI\include\blobcache\blobcache.h", "C++", 0, 0, 15, 0, 0, 4, 19
"e:\BaiduSyncdisk\OCI\include\buildah\buildah.h", "C++", 0, 0, 71, 0, 63, 0, 134
"e:\BaiduSyncdisk\OCI\include\buildah\new.h", "C++", 0, 0, 7, 0, 0, 4, 11
"e:\BaiduSyncdisk\OCI\include\buildah\push.h", "C++", 0, 0, 9, 0, 0, 3, 12
"e:\BaiduSyncdisk\OCI\include\bytes\buffer.h", "C++", 0, 0, 2, 0, 1, 0, 3
"e:\BaiduSyncdisk\OCI\include\config\new.h", "C++", 0, 0, 2, 0, -2, 0, 0
"e:\BaiduSyncdisk\OCI\include\define\pull.h", "C++", 0, 0, 2, 0, 0, -1, 1
"e:\BaiduSyncdisk\OCI\include\docker\docker_transport.h", "C++", 0, 0, 22, 0, 1, 5, 28
"e:\BaiduSyncdisk\OCI\include\go\string.h", "C++", 0, 0, 1, 0, 0, 0, 1
"e:\BaiduSyncdisk\OCI\include\graphdriver\driver.h", "C++", 0, 0, 5, 0, 1, 1, 7
"e:\BaiduSyncdisk\OCI\include\imagebuildah\executor.h", "C++", 0, 0, 3, 0, -2, 0, 1
"e:\BaiduSyncdisk\OCI\include\imagebuildah\stage_executor.h", "C++", 0, 0, 5, 0, 0, 0, 5
"e:\BaiduSyncdisk\OCI\include\imagebuilder\builder.h", "C++", 0, 0, 3, 0, 0, 0, 3
"e:\BaiduSyncdisk\OCI\include\init\init_global.h", "C++", 0, 0, 6, 0, 0, -1, 5
"e:\BaiduSyncdisk\OCI\include\libimage\copier.h", "C++", 0, 0, 50, 0, 43, 44, 137
"e:\BaiduSyncdisk\OCI\include\libimage\events.h", "C++", 0, 0, 31, 0, 17, 2, 50
"e:\BaiduSyncdisk\OCI\include\libimage\image.h", "C++", 0, 0, 26, 0, 16, 22, 64
"e:\BaiduSyncdisk\OCI\include\libimage\manifest.h", "C++", 0, 0, 11, 0, 0, 2, 13
"e:\BaiduSyncdisk\OCI\include\libimage\pull.h", "C++", 0, 0, 7, 0, 0, 1, 8
"e:\BaiduSyncdisk\OCI\include\libimage\runtime.h", "C++", 0, 0, 19, 0, 4, 4, 27
"e:\BaiduSyncdisk\OCI\include\lockfile\lastwrite.h", "C++", 0, 0, 14, 0, 0, -2, 12
"e:\BaiduSyncdisk\OCI\include\lockfile\lockfile.h", "C++", 0, 0, 1, 0, 0, 0, 1
"e:\BaiduSyncdisk\OCI\include\parse\dockerfileparse.h", "C++", 0, 0, 2, 0, 0, 0, 2
"e:\BaiduSyncdisk\OCI\include\reference\normalize.h", "C++", 0, 0, 9, 0, 0, 3, 12
"e:\BaiduSyncdisk\OCI\include\reference\reference.h", "C++", 0, 0, 40, 0, 2, 2, 44
"e:\BaiduSyncdisk\OCI\include\reference\regexp.h", "C++", 0, 0, 13, 0, 0, 3, 16
"e:\BaiduSyncdisk\OCI\include\signer\signer.h", "C++", 0, 0, 8, 0, 0, -1, 7
"e:\BaiduSyncdisk\OCI\include\storage\storage.h", "C++", 0, 0, 1, 0, 0, -1, 0
"e:\BaiduSyncdisk\OCI\include\toml\decode.h", "C++", 0, 0, 3, 0, 0, 4, 7
"e:\BaiduSyncdisk\OCI\include\transports\transports.h", "C++", 0, 0, 2, 0, 0, -1, 1
"e:\BaiduSyncdisk\OCI\include\types\options.h", "C++", 0, 0, 0, 0, 1, 0, 1
"e:\BaiduSyncdisk\OCI\include\types\types.h", "C++", 0, 0, 31, 0, 17, 15, 63
"e:\BaiduSyncdisk\OCI\test.cpp", "C++", 0, 0, -4, 0, 13, 8, 17
"Total", "-", -2, 2, 819, 1, 309, 151, 1280
