"filename", "language", "C++", "Doxyfile", "Markdown", "Makefile", "JSON", "Docker", "Go", "Shell Script", "comment", "blank", "total"
"e:\BaiduSyncdisk\OCI\execute\init\init.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 13, 2, 23
"e:\BaiduSyncdisk\OCI\execute\init\init_cmd.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\BaiduSyncdisk\OCI\execute\init\init_global.cpp", "C++", 192, 0, 0, 0, 0, 0, 0, 0, 10, 15, 217
"e:\BaiduSyncdisk\OCI\execute\internal\types.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 21, 4, 26
"e:\BaiduSyncdisk\OCI\execute\libimage\normalize.cpp", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"e:\BaiduSyncdisk\OCI\execute\libimage\pull.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"e:\BaiduSyncdisk\OCI\execute\libimage\runtime.cpp", "C++", 109, 0, 0, 0, 0, 0, 0, 0, 1, 13, 123
"e:\BaiduSyncdisk\OCI\execute\lockfile\lastwrite.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 7, 6, 32
"e:\BaiduSyncdisk\OCI\execute\lockfile\lockfile.cpp", "C++", 211, 0, 0, 0, 0, 0, 0, 0, 90, 47, 348
"e:\BaiduSyncdisk\OCI\execute\logrus\alt_exit.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 4, 4, 22
"e:\BaiduSyncdisk\OCI\execute\logrus\bufferpool.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"e:\BaiduSyncdisk\OCI\execute\logrus\entry.cpp", "C++", 337, 0, 0, 0, 0, 0, 0, 0, 66, 56, 459
"e:\BaiduSyncdisk\OCI\execute\logrus\exported.cpp", "C++", 148, 0, 0, 0, 0, 0, 0, 0, 7, 3, 158
"e:\BaiduSyncdisk\OCI\execute\logrus\hooks.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 15, 3, 35
"e:\BaiduSyncdisk\OCI\execute\logrus\logger.cpp", "C++", 307, 0, 0, 0, 0, 0, 0, 0, 37, 64, 408
"e:\BaiduSyncdisk\OCI\execute\logrus\logrus.cpp", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"e:\BaiduSyncdisk\OCI\execute\main.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 28, 4, 51
"e:\BaiduSyncdisk\OCI\execute\main\build.cpp", "C++", 247, 0, 0, 0, 0, 0, 0, 0, 90, 19, 356
"e:\BaiduSyncdisk\OCI\execute\main\config.cpp", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 36, 4, 55
"e:\BaiduSyncdisk\OCI\execute\main\images.cpp", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 21, 4, 40
"e:\BaiduSyncdisk\OCI\execute\main\info.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 19, 2, 32
"e:\BaiduSyncdisk\OCI\execute\main\inspect.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 19, 2, 32
"e:\BaiduSyncdisk\OCI\execute\main\login.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 21, 3, 37
"e:\BaiduSyncdisk\OCI\execute\main\logout.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 21, 3, 37
"e:\BaiduSyncdisk\OCI\execute\main\pull.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 21, 4, 42
"e:\BaiduSyncdisk\OCI\execute\main\push.cpp", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 21, 3, 39
"e:\BaiduSyncdisk\OCI\execute\main\rmi.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 19, 2, 32
"e:\BaiduSyncdisk\OCI\execute\main\root.cpp", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 21, 10, 77
"e:\BaiduSyncdisk\OCI\execute\main\tag.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 19, 2, 33
"e:\BaiduSyncdisk\OCI\execute\main\version.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 21, 3, 37
"e:\BaiduSyncdisk\OCI\execute\manifest\manifest.cpp", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\BaiduSyncdisk\OCI\execute\multierror\group.cpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 32, 3, 53
"e:\BaiduSyncdisk\OCI\execute\parse\buildkitparser.cpp", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 4, 10, 70
"e:\BaiduSyncdisk\OCI\execute\parse\dockerfileparse.cpp", "C++", 296, 0, 0, 0, 0, 0, 0, 0, 70, 47, 413
"e:\BaiduSyncdisk\OCI\execute\parse\line_parsers.cpp", "C++", 385, 0, 0, 0, 0, 0, 0, 0, 33, 51, 469
"e:\BaiduSyncdisk\OCI\execute\parse\parse.cpp", "C++", 386, 0, 0, 0, 0, 0, 0, 0, 131, 65, 582
"e:\BaiduSyncdisk\OCI\execute\parse\split_command.cpp", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 6, 10, 119
"e:\BaiduSyncdisk\OCI\execute\pflag\value.cpp", "C++", 165, 0, 0, 0, 0, 0, 0, 0, 203, 4, 372
"e:\BaiduSyncdisk\OCI\execute\reference\normalize.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 13, 13, 74
"e:\BaiduSyncdisk\OCI\execute\reference\reference.cpp", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 6, 3, 82
"e:\BaiduSyncdisk\OCI\execute\reference\regexp.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\BaiduSyncdisk\OCI\execute\regexp\regexp.cpp", "C++", 247, 0, 0, 0, 0, 0, 0, 0, 37, 54, 338
"e:\BaiduSyncdisk\OCI\execute\selinux\selinux.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\BaiduSyncdisk\OCI\execute\selinux\selinux_linux.cpp", "C++", 43, 0, 0, 0, 0, 0, 0, 0, 23, 12, 78
"e:\BaiduSyncdisk\OCI\execute\semaphore\semaphore.cpp", "C++", 69, 0, 0, 0, 0, 0, 0, 0, 30, 18, 117
"e:\BaiduSyncdisk\OCI\execute\shell\lex.cpp", "C++", 312, 0, 0, 0, 0, 0, 0, 0, 14, 32, 358
"e:\BaiduSyncdisk\OCI\execute\signature\policy_config.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"e:\BaiduSyncdisk\OCI\execute\signature\policy_eval.cpp", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"e:\BaiduSyncdisk\OCI\execute\signature\policy_types.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\BaiduSyncdisk\OCI\execute\storage\images.cpp", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 9, 4, 55
"e:\BaiduSyncdisk\OCI\execute\storage\path.cpp", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 15, 13, 111
"e:\BaiduSyncdisk\OCI\execute\storage\storage.cpp", "C++", 632, 0, 0, 0, 0, 0, 0, 0, 230, 153, 1015
"e:\BaiduSyncdisk\OCI\execute\storage\storage_reference.cpp", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\BaiduSyncdisk\OCI\execute\storage\storage_transport.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 3, 7, 22
"e:\BaiduSyncdisk\OCI\execute\storage\store.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"e:\BaiduSyncdisk\OCI\execute\toml\decode.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\BaiduSyncdisk\OCI\execute\transports\transports.cpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 34
"e:\BaiduSyncdisk\OCI\execute\types\options.cpp", "C++", 373, 0, 0, 0, 0, 0, 0, 0, 185, 63, 621
"e:\BaiduSyncdisk\OCI\execute\unshare\unshare_linux.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 2, 1, 12
"e:\BaiduSyncdisk\OCI\execute\util\util.cpp", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 22, 11, 116
"e:\BaiduSyncdisk\OCI\execute\v1\descriptor.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 6, 1, 8
"e:\BaiduSyncdisk\OCI\include\alltransports\alltransports.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\BaiduSyncdisk\OCI\include\attributedstring\slice.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\BaiduSyncdisk\OCI\include\auth\auth.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\BaiduSyncdisk\OCI\include\blobcache\blobcache.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\BaiduSyncdisk\OCI\include\buildah\buildah.h", "C++", 158, 0, 0, 0, 0, 0, 0, 0, 101, 42, 301
"e:\BaiduSyncdisk\OCI\include\buildah\commit.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 25, 26, 92
"e:\BaiduSyncdisk\OCI\include\buildah\common.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"e:\BaiduSyncdisk\OCI\include\buildah\digester.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 10, 8, 48
"e:\BaiduSyncdisk\OCI\include\buildah\image.h", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 1, 3, 54
"e:\BaiduSyncdisk\OCI\include\buildah\new.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"e:\BaiduSyncdisk\OCI\include\buildah\push.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\BaiduSyncdisk\OCI\include\buildah\util.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"e:\BaiduSyncdisk\OCI\include\bytes\buffer.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 5, 5, 37
"e:\BaiduSyncdisk\OCI\include\capabilities\capabilities.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7
"e:\BaiduSyncdisk\OCI\include\cgroupv2\cgroups_linux.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 2, 2, 24
"e:\BaiduSyncdisk\OCI\include\cli\build.h", "C++", 124, 0, 0, 0, 0, 0, 0, 0, 141, 9, 274
"e:\BaiduSyncdisk\OCI\include\cli\common.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 13, 0, 39
"e:\BaiduSyncdisk\OCI\include\cobra\args.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 11, 2, 26
"e:\BaiduSyncdisk\OCI\include\cobra\command.h", "C++", 92, 0, 0, 0, 0, 0, 0, 0, 50, 8, 150
"e:\BaiduSyncdisk\OCI\include\cobra\error.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 19, 5, 48
"e:\BaiduSyncdisk\OCI\include\cobra\flag.h", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 27, 5, 113
"e:\BaiduSyncdisk\OCI\include\config\config.h", "C++", 226, 0, 0, 0, 0, 0, 0, 0, 184, 142, 552
"e:\BaiduSyncdisk\OCI\include\config\config_local.h", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"e:\BaiduSyncdisk\OCI\include\config\default_linux.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"e:\BaiduSyncdisk\OCI\include\config\defaut.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 1, 10, 36
"e:\BaiduSyncdisk\OCI\include\config\new.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 5, 6, 44
"e:\BaiduSyncdisk\OCI\include\config\pod_exit_policy.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\BaiduSyncdisk\OCI\include\context\context.h", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 15, 13, 82
"e:\BaiduSyncdisk\OCI\include\copy\copy.h", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 2, 9, 64
"e:\BaiduSyncdisk\OCI\include\define\build.h", "C++", 184, 0, 0, 0, 0, 0, 0, 0, 255, 13, 452
"e:\BaiduSyncdisk\OCI\include\define\namespace.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"e:\BaiduSyncdisk\OCI\include\define\platform.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\BaiduSyncdisk\OCI\include\define\pull.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"e:\BaiduSyncdisk\OCI\include\define\types.h", "C++", 159, 0, 0, 0, 0, 0, 0, 0, 69, 13, 241
"e:\BaiduSyncdisk\OCI\include\define\types_unix.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\BaiduSyncdisk\OCI\include\devices\devices.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 11, 10, 51
"e:\BaiduSyncdisk\OCI\include\digest\algorithm.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"e:\BaiduSyncdisk\OCI\include\digest\digest.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"e:\BaiduSyncdisk\OCI\include\digest\digester.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"e:\BaiduSyncdisk\OCI\include\digest\verifier.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\BaiduSyncdisk\OCI\include\docker\container.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 75, 6, 91
"e:\BaiduSyncdisk\OCI\include\docker\docker_transport.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"e:\BaiduSyncdisk\OCI\include\docker\types.h", "C++", 96, 0, 0, 0, 0, 0, 0, 0, 23, 21, 140
"e:\BaiduSyncdisk\OCI\include\fmt\print.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 23, 8, 39
"e:\BaiduSyncdisk\OCI\include\go\context.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 8, 11, 67
"e:\BaiduSyncdisk\OCI\include\go\file.h", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"e:\BaiduSyncdisk\OCI\include\go\hash.h", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 4, 6, 22
"e:\BaiduSyncdisk\OCI\include\go\sha256.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 11, 8, 35
"e:\BaiduSyncdisk\OCI\include\go\string.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 10, 1, 32
"e:\BaiduSyncdisk\OCI\include\go\time.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\BaiduSyncdisk\OCI\include\graphdriver\driver.h", "C++", 97, 0, 0, 0, 0, 0, 0, 0, 23, 10, 130
"e:\BaiduSyncdisk\OCI\include\homedir\homedir_unix.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\BaiduSyncdisk\OCI\include\idtools\idtools.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"e:\BaiduSyncdisk\OCI\include\imagebuildah\build.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"e:\BaiduSyncdisk\OCI\include\imagebuildah\executor.h", "C++", 185, 0, 0, 0, 0, 0, 0, 0, 1, 8, 194
"e:\BaiduSyncdisk\OCI\include\imagebuildah\stage_executor.h", "C++", 63, 0, 0, 0, 0, 0, 0, 0, 14, 4, 81
"e:\BaiduSyncdisk\OCI\include\imagebuildah\util.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"e:\BaiduSyncdisk\OCI\include\imagebuilder\builder.h", "C++", 137, 0, 0, 0, 0, 0, 0, 0, 6, 13, 156
"e:\BaiduSyncdisk\OCI\include\imagebuilder\dispatchers.h", "C++", 69, 0, 0, 0, 0, 0, 0, 0, 0, 11, 80
"e:\BaiduSyncdisk\OCI\include\imagebuilder\evaluator.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"e:\BaiduSyncdisk\OCI\include\imagebuilder\internals.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 6, 5, 45
"e:\BaiduSyncdisk\OCI\include\imagebuilder\shell_parser.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 1, 5, 44
"e:\BaiduSyncdisk\OCI\include\init\init.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\BaiduSyncdisk\OCI\include\init\init_cmd.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\BaiduSyncdisk\OCI\include\init\init_global.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"e:\BaiduSyncdisk\OCI\include\internal\types.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"e:\BaiduSyncdisk\OCI\include\libimage\copier.h", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 43, 44, 137
"e:\BaiduSyncdisk\OCI\include\libimage\events.h", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 17, 2, 50
"e:\BaiduSyncdisk\OCI\include\libimage\image.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 16, 22, 65
"e:\BaiduSyncdisk\OCI\include\libimage\inspect.h", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 27, 25, 102
"e:\BaiduSyncdisk\OCI\include\libimage\manifest.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\BaiduSyncdisk\OCI\include\libimage\normalize.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\BaiduSyncdisk\OCI\include\libimage\pull.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\BaiduSyncdisk\OCI\include\libimage\runtime.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 14, 12, 59
"e:\BaiduSyncdisk\OCI\include\lockfile\lastwrite.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 1, 1, 28
"e:\BaiduSyncdisk\OCI\include\lockfile\lockfile.h", "C++", 55, 0, 0, 0, 0, 0, 0, 0, 9, 2, 66
"e:\BaiduSyncdisk\OCI\include\logrus\alt_exit.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\BaiduSyncdisk\OCI\include\logrus\bufferpool.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 5, 8, 52
"e:\BaiduSyncdisk\OCI\include\logrus\entry.h", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 12, 13, 128
"e:\BaiduSyncdisk\OCI\include\logrus\exported.h", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 2, 3, 59
"e:\BaiduSyncdisk\OCI\include\logrus\formatter.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
