"filename", "language", "Docker", "Go", "C++", "Markdown", "Makefile", "Doxyfile", "JSON", "comment", "blank", "total"
"d:\BaiduSyncdisk\OCI\execute\main\logout.cpp", "C++", 0, 0, 13, 0, 0, 0, 0, 21, 3, 37
"d:\BaiduSyncdisk\OCI\execute\main\pull.cpp", "C++", 0, 0, 17, 0, 0, 0, 0, 21, 4, 42
"d:\BaiduSyncdisk\OCI\execute\main\push.cpp", "C++", 0, 0, 15, 0, 0, 0, 0, 21, 3, 39
"d:\BaiduSyncdisk\OCI\execute\main\rmi.cpp", "C++", 0, 0, 11, 0, 0, 0, 0, 19, 2, 32
"d:\BaiduSyncdisk\OCI\execute\main\root.cpp", "C++", 0, 0, 50, 0, 0, 0, 0, 17, 10, 77
"d:\BaiduSyncdisk\OCI\execute\main\tag.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 19, 2, 33
"d:\BaiduSyncdisk\OCI\execute\main\version.cpp", "C++", 0, 0, 13, 0, 0, 0, 0, 21, 3, 37
"d:\BaiduSyncdisk\OCI\execute\multierror\group.cpp", "C++", 0, 0, 18, 0, 0, 0, 0, 32, 3, 53
"d:\BaiduSyncdisk\OCI\execute\parse\buildkitparser.cpp", "C++", 0, 0, 57, 0, 0, 0, 0, 3, 10, 70
"d:\BaiduSyncdisk\OCI\execute\parse\dockerfileparse.cpp", "C++", 0, 0, 332, 0, 0, 0, 0, 45, 49, 426
"d:\BaiduSyncdisk\OCI\execute\parse\line_parsers.cpp", "C++", 0, 0, 385, 0, 0, 0, 0, 33, 51, 469
"d:\BaiduSyncdisk\OCI\execute\parse\parse.cpp", "C++", 0, 0, 376, 0, 0, 0, 0, 130, 67, 573
"d:\BaiduSyncdisk\OCI\execute\parse\split_command.cpp", "C++", 0, 0, 104, 0, 0, 0, 0, 5, 10, 119
"d:\BaiduSyncdisk\OCI\execute\pflag\value.cpp", "C++", 0, 0, 165, 0, 0, 0, 0, 202, 4, 371
"d:\BaiduSyncdisk\OCI\execute\reference\reference.cpp", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\BaiduSyncdisk\OCI\execute\regexp\regexp.cpp", "C++", 0, 0, 243, 0, 0, 0, 0, 26, 52, 321
"d:\BaiduSyncdisk\OCI\execute\selinux\selinux.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\BaiduSyncdisk\OCI\execute\selinux\selinux_linux.cpp", "C++", 0, 0, 43, 0, 0, 0, 0, 23, 12, 78
"d:\BaiduSyncdisk\OCI\execute\semaphore\semaphore.cpp", "C++", 0, 0, 69, 0, 0, 0, 0, 30, 18, 117
"d:\BaiduSyncdisk\OCI\execute\shell\lex.cpp", "C++", 0, 0, 306, 0, 0, 0, 0, 14, 32, 352
"d:\BaiduSyncdisk\OCI\execute\storage\storage.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\BaiduSyncdisk\OCI\execute\storage\storage_transport.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\BaiduSyncdisk\OCI\execute\storage\store.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"d:\BaiduSyncdisk\OCI\execute\transports\transports.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"d:\BaiduSyncdisk\OCI\execute\types\options.cpp", "C++", 0, 0, 142, 0, 0, 0, 0, 117, 17, 276
"d:\BaiduSyncdisk\OCI\execute\unshare\unshare_linux.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 2, 1, 12
"d:\BaiduSyncdisk\OCI\execute\util\util.cpp", "C++", 0, 0, 76, 0, 0, 0, 0, 24, 7, 107
"d:\BaiduSyncdisk\OCI\execute\v1\descriptor.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\BaiduSyncdisk\OCI\include\alltransports\alltransports.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\BaiduSyncdisk\OCI\include\attributedstring\slice.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"d:\BaiduSyncdisk\OCI\include\auth\auth.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\BaiduSyncdisk\OCI\include\buildah\buildah.h", "C++", 0, 0, 51, 0, 0, 0, 0, 39, 40, 130
"d:\BaiduSyncdisk\OCI\include\buildah\digest.h", "C++", 0, 0, 22, 0, 0, 0, 0, 10, 7, 39
"d:\BaiduSyncdisk\OCI\include\bytes\buffer.h", "C++", 0, 0, 20, 0, 0, 0, 0, 3, 4, 27
"d:\BaiduSyncdisk\OCI\include\capabilities\capabilities.h", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 4, 7
"d:\BaiduSyncdisk\OCI\include\cgroupv2\cgroups_linux.h", "C++", 0, 0, 39, 0, 0, 0, 0, 3, 5, 47
"d:\BaiduSyncdisk\OCI\include\cli\build.h", "C++", 0, 0, 124, 0, 0, 0, 0, 141, 9, 274
"d:\BaiduSyncdisk\OCI\include\cli\common.h", "C++", 0, 0, 26, 0, 0, 0, 0, 20, 2, 48
"d:\BaiduSyncdisk\OCI\include\cobra\args.h", "C++", 0, 0, 13, 0, 0, 0, 0, 11, 2, 26
"d:\BaiduSyncdisk\OCI\include\cobra\command.h", "C++", 0, 0, 92, 0, 0, 0, 0, 50, 8, 150
"d:\BaiduSyncdisk\OCI\include\cobra\error.h", "C++", 0, 0, 24, 0, 0, 0, 0, 19, 5, 48
"d:\BaiduSyncdisk\OCI\include\cobra\flag.h", "C++", 0, 0, 81, 0, 0, 0, 0, 27, 5, 113
"d:\BaiduSyncdisk\OCI\include\config\config.h", "C++", 0, 0, 218, 0, 0, 0, 0, 184, 143, 545
"d:\BaiduSyncdisk\OCI\include\config\config_local.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"d:\BaiduSyncdisk\OCI\include\config\default_linux.h", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\BaiduSyncdisk\OCI\include\config\defaut.h", "C++", 0, 0, 25, 0, 0, 0, 0, 1, 10, 36
"d:\BaiduSyncdisk\OCI\include\config\new.h", "C++", 0, 0, 31, 0, 0, 0, 0, 7, 6, 44
"d:\BaiduSyncdisk\OCI\include\config\pod_exit_policy.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"d:\BaiduSyncdisk\OCI\include\define\build.h", "C++", 0, 0, 184, 0, 0, 0, 0, 255, 13, 452
"d:\BaiduSyncdisk\OCI\include\define\namespace.h", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"d:\BaiduSyncdisk\OCI\include\define\pull.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"d:\BaiduSyncdisk\OCI\include\define\types.h", "C++", 0, 0, 134, 0, 0, 0, 0, 69, 13, 216
"d:\BaiduSyncdisk\OCI\include\define\types_unix.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\BaiduSyncdisk\OCI\include\devices\devices.h", "C++", 0, 0, 30, 0, 0, 0, 0, 11, 10, 51
"d:\BaiduSyncdisk\OCI\include\digest\digest.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\BaiduSyncdisk\OCI\include\docker\container.h", "C++", 0, 0, 58, 0, 0, 0, 0, 11, 6, 75
"d:\BaiduSyncdisk\OCI\include\go\context.h", "C++", 0, 0, 48, 0, 0, 0, 0, 8, 11, 67
"d:\BaiduSyncdisk\OCI\include\go\file.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"d:\BaiduSyncdisk\OCI\include\go\sha256.h", "C++", 0, 0, 16, 0, 0, 0, 0, 11, 8, 35
"d:\BaiduSyncdisk\OCI\include\go\string.h", "C++", 0, 0, 16, 0, 0, 0, 0, 10, 2, 28
"d:\BaiduSyncdisk\OCI\include\graphdriver\driver.h", "C++", 0, 0, 22, 0, 0, 0, 0, 3, 4, 29
"d:\BaiduSyncdisk\OCI\include\idtools\idtools.h", "C++", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\BaiduSyncdisk\OCI\include\imagebuildah\build.h", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\BaiduSyncdisk\OCI\include\imagebuildah\executor.h", "C++", 0, 0, 170, 0, 0, 0, 0, 3, 7, 180
"d:\BaiduSyncdisk\OCI\include\imagebuildah\stage_executor.h", "C++", 0, 0, 41, 0, 0, 0, 0, 10, 3, 54
"d:\BaiduSyncdisk\OCI\include\imagebuildah\util.h", "C++", 0, 0, 16, 0, 0, 0, 0, 2, 3, 21
"d:\BaiduSyncdisk\OCI\include\imagebuilder\builder.h", "C++", 0, 0, 79, 0, 0, 0, 0, 3, 10, 92
"d:\BaiduSyncdisk\OCI\include\imagebuilder\evaluator.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\BaiduSyncdisk\OCI\include\imagebuilder\shell_parser.h", "C++", 0, 0, 37, 0, 0, 0, 0, 1, 6, 44
"d:\BaiduSyncdisk\OCI\include\internal\types.h", "C++", 0, 0, 21, 0, 0, 0, 0, 2, 3, 26
"d:\BaiduSyncdisk\OCI\include\libimage\normalize.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\BaiduSyncdisk\OCI\include\logrus\bufferpool.h", "C++", 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"d:\BaiduSyncdisk\OCI\include\logrus\formatter.h", "C++", 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"d:\BaiduSyncdisk\OCI\include\logrus\hooks.h", "C++", 0, 0, 15, 0, 0, 0, 0, 16, 4, 35
"d:\BaiduSyncdisk\OCI\include\logrus\logger.h", "C++", 0, 0, 32, 0, 0, 0, 0, 61, 16, 109
"d:\BaiduSyncdisk\OCI\include\logrus\logrus.h", "C++", 0, 0, 26, 0, 0, 0, 0, 9, 2, 37
"d:\BaiduSyncdisk\OCI\include\main\build.h", "C++", 0, 0, 27, 0, 0, 0, 0, 15, 2, 44
"d:\BaiduSyncdisk\OCI\include\main\config.h", "C++", 0, 0, 23, 0, 0, 0, 0, 15, 1, 39
"d:\BaiduSyncdisk\OCI\include\main\images.h", "C++", 0, 0, 15, 0, 0, 0, 0, 16, 1, 32
"d:\BaiduSyncdisk\OCI\include\main\info.h", "C++", 0, 0, 11, 0, 0, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\main\inspect.h", "C++", 0, 0, 11, 0, 0, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\main\login.h", "C++", 0, 0, 17, 0, 0, 0, 0, 15, 1, 33
"d:\BaiduSyncdisk\OCI\include\main\logout.h", "C++", 0, 0, 15, 0, 0, 0, 0, 16, 3, 34
"d:\BaiduSyncdisk\OCI\include\main\pull.h", "C++", 0, 0, 15, 0, 0, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\main\push.h", "C++", 0, 0, 15, 0, 0, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\main\rmi.h", "C++", 0, 0, 11, 0, 0, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\main\root.h", "C++", 0, 0, 23, 0, 0, 0, 0, 22, 4, 49
"d:\BaiduSyncdisk\OCI\include\main\tag.h", "C++", 0, 0, 11, 0, 0, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\main\version.h", "C++", 0, 0, 15, 0, 0, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\multierror\group.h", "C++", 0, 0, 44, 0, 0, 0, 0, 1, 7, 52
"d:\BaiduSyncdisk\OCI\include\parse\buildkitparser.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"d:\BaiduSyncdisk\OCI\include\parse\dockerfileparse.h", "C++", 0, 0, 66, 0, 0, 0, 0, 1, 5, 72
"d:\BaiduSyncdisk\OCI\include\parse\line_parsers.h", "C++", 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\BaiduSyncdisk\OCI\include\parse\parse.h", "C++", 0, 0, 25, 0, 0, 0, 0, 1, 2, 28
"d:\BaiduSyncdisk\OCI\include\parse\split_command.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\BaiduSyncdisk\OCI\include\pflag\value.h", "C++", 0, 0, 88, 0, 0, 0, 0, 42, 2, 132
"d:\BaiduSyncdisk\OCI\include\reference\reference.h", "C++", 0, 0, 47, 0, 0, 0, 0, 1, 3, 51
"d:\BaiduSyncdisk\OCI\include\regexp\regexp.h", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"d:\BaiduSyncdisk\OCI\include\runtime_spec\config.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"d:\BaiduSyncdisk\OCI\include\selinux\selinux.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\BaiduSyncdisk\OCI\include\selinux\selinux_linux.h", "C++", 0, 0, 23, 0, 0, 0, 0, 7, 9, 39
"d:\BaiduSyncdisk\OCI\include\semaphore\semaphore.h", "C++", 0, 0, 34, 0, 0, 0, 0, 2, 4, 40
"d:\BaiduSyncdisk\OCI\include\shell\lex.h", "C++", 0, 0, 57, 0, 0, 0, 0, 2, 11, 70
"d:\BaiduSyncdisk\OCI\include\specs\specs.h", "C++", 0, 0, 34, 0, 0, 0, 0, 25, 4, 63
"d:\BaiduSyncdisk\OCI\include\sshagent\sshagent.h", "C++", 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"d:\BaiduSyncdisk\OCI\include\storage\layers.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"d:\BaiduSyncdisk\OCI\include\storage\storage.h", "C++", 0, 0, 31, 0, 0, 0, 0, 17, 8, 56
"d:\BaiduSyncdisk\OCI\include\storage\storage_reference.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 6, 12
"d:\BaiduSyncdisk\OCI\include\storage\storage_transport.h", "C++", 0, 0, 21, 0, 0, 0, 0, 3, 5, 29
"d:\BaiduSyncdisk\OCI\include\sync\cond.h", "C++", 0, 0, 13, 0, 0, 0, 0, 4, 3, 20
"d:\BaiduSyncdisk\OCI\include\sync\mutex.h", "C++", 0, 0, 14, 0, 0, 0, 0, 16, 5, 35
"d:\BaiduSyncdisk\OCI\include\sync\pool.h", "C++", 0, 0, 21, 0, 0, 0, 0, 4, 8, 33
"d:\BaiduSyncdisk\OCI\include\system\lcow_unix.h", "C++", 0, 0, 16, 0, 0, 0, 0, 4, 1, 21
"d:\BaiduSyncdisk\OCI\include\transports\transports.h", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\BaiduSyncdisk\OCI\include\types\network.h", "C++", 0, 0, 31, 0, 0, 0, 0, 18, 16, 65
"d:\BaiduSyncdisk\OCI\include\types\options.h", "C++", 0, 0, 44, 0, 0, 0, 0, 35, 2, 81
"d:\BaiduSyncdisk\OCI\include\types\types.h", "C++", 0, 0, 23, 0, 0, 0, 0, 20, 11, 54
"d:\BaiduSyncdisk\OCI\include\unshare\unshare_linux.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\BaiduSyncdisk\OCI\include\util\util.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"d:\BaiduSyncdisk\OCI\include\v1\config.h", "C++", 0, 0, 46, 0, 0, 0, 0, 24, 15, 85
"d:\BaiduSyncdisk\OCI\include\v1\descriptor.h", "C++", 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"d:\BaiduSyncdisk\OCI\include\v1\mediatype.h", "C++", 0, 0, 15, 0, 0, 0, 0, 11, 11, 37
"d:\BaiduSyncdisk\OCI\test.cpp", "C++", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"Total", "-", 4, 10, 9390, 12, 50, 358, 1, 5885, 2040, 17750
