"filename", "language", "Makefile", "C++", "Markdown", "Doxyfile", "comment", "blank", "total"
"d:\BaiduSyncdisk\OCI\execute\storage\store.cpp", "C++", 0, 0, 0, 0, 0, 3, 3
"d:\BaiduSyncdisk\OCI\execute\storage\utils.cpp", "C++", 0, 67, 0, 0, 74, 4, 145
"d:\BaiduSyncdisk\OCI\include\cli\build.h", "C++", 0, 96, 0, 0, 33, 7, 136
"d:\BaiduSyncdisk\OCI\include\cli\common.h", "C++", 0, 14, 0, 0, 10, 1, 25
"d:\BaiduSyncdisk\OCI\include\cmd\build.h", "C++", 0, 27, 0, 0, 15, 2, 44
"d:\BaiduSyncdisk\OCI\include\cmd\config.h", "C++", 0, 23, 0, 0, 15, 1, 39
"d:\BaiduSyncdisk\OCI\include\cmd\images.h", "C++", 0, 15, 0, 0, 16, 1, 32
"d:\BaiduSyncdisk\OCI\include\cmd\info.h", "C++", 0, 11, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\cmd\inspect.h", "C++", 0, 11, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\cmd\login.h", "C++", 0, 17, 0, 0, 15, 1, 33
"d:\BaiduSyncdisk\OCI\include\cmd\logout.h", "C++", 0, 15, 0, 0, 16, 3, 34
"d:\BaiduSyncdisk\OCI\include\cmd\pull.h", "C++", 0, 15, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\cmd\push.h", "C++", 0, 15, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\cmd\rmi.h", "C++", 0, 11, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\cmd\root.h", "C++", 0, 21, 0, 0, 22, 4, 47
"d:\BaiduSyncdisk\OCI\include\cmd\tag.h", "C++", 0, 11, 0, 0, 10, 1, 22
"d:\BaiduSyncdisk\OCI\include\cmd\version.h", "C++", 0, 15, 0, 0, 15, 1, 31
"d:\BaiduSyncdisk\OCI\include\cobra\args.h", "C++", 0, 13, 0, 0, 11, 2, 26
"d:\BaiduSyncdisk\OCI\include\cobra\command.h", "C++", 0, 92, 0, 0, 50, 7, 149
"d:\BaiduSyncdisk\OCI\include\cobra\error.h", "C++", 0, 20, 0, 0, 19, 5, 44
"d:\BaiduSyncdisk\OCI\include\cobra\flag.h", "C++", 0, 75, 0, 0, 27, 5, 107
"d:\BaiduSyncdisk\OCI\include\config\config.h", "C++", 0, 29, 0, 0, 14, 18, 61
"d:\BaiduSyncdisk\OCI\include\define\build.h", "C++", 0, 205, 0, 0, 236, 16, 457
"d:\BaiduSyncdisk\OCI\include\docker\reference.h", "C++", 0, 29, 0, 0, 0, 2, 31
"d:\BaiduSyncdisk\OCI\include\github\digest.h", "C++", 0, 11, 0, 0, 0, 4, 15
"d:\BaiduSyncdisk\OCI\include\imagebuildah\build.h", "C++", 0, 12, 0, 0, 0, 3, 15
"d:\BaiduSyncdisk\OCI\include\pflag\value.h", "C++", 0, 88, 0, 0, 42, 2, 132
"d:\BaiduSyncdisk\OCI\include\pkg\idtools\idtools.h", "C++", 0, 10, 0, 0, 0, 4, 14
"d:\BaiduSyncdisk\OCI\include\storage\driver\driver.h", "C++", 0, 22, 0, 0, 3, 4, 29
"d:\BaiduSyncdisk\OCI\include\storage\layers.h", "C++", 0, 16, 0, 0, 0, 3, 19
"d:\BaiduSyncdisk\OCI\include\storage\storage.h", "C++", 0, 29, 0, 0, 17, 8, 54
"d:\BaiduSyncdisk\OCI\include\storage\utils.h", "C++", 0, 34, 0, 0, 16, 4, 54
"d:\BaiduSyncdisk\OCI\test.cpp", "C++", 0, 30, 0, 0, 2, 4, 36
"Total", "-", 50, 2639, 2, 358, 3875, 893, 7817
